,编号,预测值,实际值,偏差
数据0,0.0,30.687,24.0,6.687
数据1,1.0,25.187,21.6,3.587
数据2,2.0,32.9,34.7,1.8
数据3,3.0,36.61,33.4,3.21
数据4,4.0,32.392,36.2,3.808
数据5,5.0,30.687,28.7,1.987
数据6,6.0,21.396,22.9,1.504
数据7,7.0,19.505,27.1,7.595
数据8,8.0,19.505,16.5,3.005
数据9,9.0,19.652,18.9,0.752
数据10,10.0,19.505,15.0,4.505
数据11,11.0,21.396,18.9,2.496
数据12,12.0,19.652,21.7,2.048
数据13,13.0,22.219,20.4,1.819
数据14,14.0,22.219,18.2,4.019
数据15,15.0,22.219,19.9,2.319
数据16,16.0,25.779,23.1,2.679
数据17,17.0,18.395,17.5,0.895
数据18,18.0,21.307,20.2,1.107
数据19,19.0,22.219,18.2,4.019
数据20,20.0,17.576,13.6,3.976
数据21,21.0,20.492,19.6,0.892
数据22,22.0,18.249,15.2,3.049
数据23,23.0,17.576,14.5,3.076
数据24,24.0,18.395,15.6,2.795
数据25,25.0,18.395,13.9,4.495
数据26,26.0,18.395,16.6,1.795
数据27,27.0,18.395,14.8,3.595
数据28,28.0,21.307,18.4,2.907
数据29,29.0,21.307,21.0,0.307
数据30,30.0,18.249,12.7,5.549
数据31,31.0,20.633,14.5,6.133
数据32,32.0,18.249,13.2,5.049
数据33,33.0,18.249,13.1,5.149
数据34,34.0,17.576,13.5,4.076
数据35,35.0,22.309,18.9,3.409
数据36,36.0,22.309,20.0,2.309
数据37,37.0,23.696,21.0,2.696
数据38,38.0,22.309,24.7,2.391
数据39,39.0,32.9,30.8,2.1
数据40,40.0,37.591,34.9,2.691
数据41,41.0,30.687,26.6,4.087
数据42,42.0,27.256,25.3,1.956
数据43,43.0,25.229,24.7,0.529
数据44,44.0,22.309,21.2,1.109
数据45,45.0,22.309,19.3,3.009
数据46,46.0,20.581,20.0,0.581
数据47,47.0,19.505,16.6,2.905
数据48,48.0,19.505,14.4,5.105
数据49,49.0,19.652,19.4,0.252
数据50,50.0,21.396,19.7,1.696
数据51,51.0,22.309,20.5,1.809
数据52,52.0,30.687,25.0,5.687
数据53,53.0,23.696,23.4,0.296
数据54,54.0,18.395,18.9,0.505
数据55,55.0,32.392,35.4,3.008
数据56,56.0,30.687,24.7,5.987
数据57,57.0,34.605,31.6,3.005
数据58,58.0,24.076,23.3,0.776
数据59,59.0,22.219,19.6,2.619
数据60,60.0,21.307,18.7,2.607
数据61,61.0,19.325,16.0,3.325
数据62,62.0,26.016,22.2,3.816
数据63,63.0,22.219,25.0,2.781
数据64,64.0,25.187,33.0,7.813
数据65,65.0,28.748,23.5,5.248
数据66,66.0,22.309,19.4,2.909
数据67,67.0,23.696,22.0,1.696
数据68,68.0,21.396,17.4,3.996
数据69,69.0,23.696,20.9,2.796
数据70,70.0,26.016,24.2,1.816
数据71,71.0,22.309,21.7,0.609
数据72,72.0,27.256,22.8,4.456
数据73,73.0,23.752,23.4,0.352
数据74,74.0,25.553,24.1,1.453
数据75,75.0,23.696,21.4,2.296
数据76,76.0,21.396,20.0,1.396
数据77,77.0,22.309,20.8,1.509
数据78,78.0,21.396,21.2,0.196
数据79,79.0,23.696,20.3,3.396
数据80,80.0,30.687,28.0,2.687
数据81,81.0,26.721,23.9,2.821
数据82,82.0,25.553,24.8,0.753
数据83,83.0,25.229,22.9,2.329
数据84,84.0,23.8,23.9,0.1
数据85,85.0,30.687,26.6,4.087
数据86,86.0,21.396,22.5,1.104
数据87,87.0,23.696,22.2,1.496
数据88,88.0,30.687,23.6,7.087
数据89,89.0,30.687,28.7,1.987
数据90,90.0,25.187,22.6,2.587
数据91,91.0,25.187,22.0,3.187
数据92,92.0,23.696,22.9,0.796
数据93,93.0,27.256,25.0,2.256
数据94,94.0,22.309,20.6,1.709
数据95,95.0,28.984,28.4,0.584
数据96,96.0,23.8,21.4,2.4
数据97,97.0,34.605,38.7,4.095
数据98,98.0,36.61,43.8,7.19
数据99,99.0,32.392,33.2,0.808
数据100,100.0,22.219,27.5,5.281
数据101,101.0,23.752,26.5,2.748
数据102,102.0,22.219,18.6,3.619
数据103,103.0,21.307,19.3,2.007
数据104,104.0,21.307,20.1,1.207
数据105,105.0,18.395,19.5,1.105
数据106,106.0,18.249,19.5,1.251
数据107,107.0,20.492,20.4,0.092
数据108,108.0,21.307,19.8,1.507
数据109,109.0,18.395,19.4,1.005
数据110,110.0,21.307,21.7,0.393
数据111,111.0,22.309,22.8,0.491
数据112,112.0,19.652,18.8,0.852
数据113,113.0,18.978,18.7,0.278
数据114,114.0,22.309,18.5,3.809
数据115,115.0,19.652,18.3,1.352
数据116,116.0,21.396,21.2,0.196
数据117,117.0,22.309,19.2,3.109
数据118,118.0,19.652,20.4,0.748
数据119,119.0,20.581,19.3,1.281
数据120,120.0,19.0,22.0,3.0
数据121,121.0,17.951,20.3,2.349
数据122,122.0,16.875,20.5,3.625
数据123,123.0,16.875,17.3,0.425
数据124,124.0,16.875,18.8,1.925
数据125,125.0,17.021,21.4,4.379
数据126,126.0,16.875,15.7,1.175
数据127,127.0,16.192,16.2,0.008
数据128,128.0,16.192,18.0,1.808
数据129,129.0,16.046,14.3,1.746
数据130,130.0,20.053,19.2,0.853
数据131,131.0,20.053,19.6,0.453
数据132,132.0,21.639,23.0,1.361
数据133,133.0,16.192,18.4,2.208
数据134,134.0,16.192,15.6,0.592
数据135,135.0,16.192,18.1,1.908
数据136,136.0,16.192,17.4,1.208
数据137,137.0,16.192,17.1,0.908
数据138,138.0,16.046,13.3,2.746
数据139,139.0,16.046,17.8,1.754
数据140,140.0,14.816,14.0,0.816
数据141,141.0,14.816,14.4,0.416
数据142,142.0,17.2,13.4,3.8
数据143,143.0,16.072,15.6,0.472
数据144,144.0,16.072,11.8,4.272
数据145,145.0,16.072,13.8,2.272
数据146,146.0,16.218,15.6,0.618
数据147,147.0,16.072,14.6,1.472
数据148,148.0,16.072,17.8,1.728
数据149,149.0,16.072,15.4,0.672
数据150,150.0,18.378,21.5,3.122
数据151,151.0,20.143,19.6,0.543
数据152,152.0,20.04,15.3,4.74
数据153,153.0,16.218,19.4,3.182
数据154,154.0,17.346,17.0,0.346
数据155,155.0,17.346,15.6,1.746
数据156,156.0,16.218,13.1,3.118
数据157,157.0,28.565,41.3,12.735
数据158,158.0,26.352,24.3,2.052
数据159,159.0,24.649,23.3,1.349
数据160,160.0,29.954,27.0,2.954
数据161,161.0,32.013,50.0,17.987
数据162,162.0,41.016,50.0,8.984
数据163,163.0,37.567,50.0,12.433
数据164,164.0,20.143,22.7,2.557
数据165,165.0,21.729,25.0,3.271
数据166,166.0,33.966,50.0,16.034
数据167,167.0,20.816,23.8,2.984
数据168,168.0,21.729,23.8,2.071
数据169,169.0,21.729,22.3,0.571
数据170,170.0,18.378,17.4,0.978
数据171,171.0,20.143,19.1,1.043
数据172,172.0,19.652,23.1,3.448
数据173,173.0,25.187,23.6,1.587
数据174,174.0,22.309,22.6,0.291
数据175,175.0,30.687,29.4,1.287
数据176,176.0,22.309,23.2,0.891
数据177,177.0,27.256,24.6,2.656
数据178,178.0,28.984,29.9,0.916
数据179,179.0,32.392,37.2,4.808
