,编号,预测值,实际值,偏差
数据0,0.0,26.191,24.0,2.191
数据1,1.0,23.057,21.6,1.457
数据2,2.0,30.264,34.7,4.436
数据3,3.0,32.37,33.4,1.03
数据4,4.0,28.339,36.2,7.861
数据5,5.0,26.191,28.7,2.509
数据6,6.0,21.515,22.9,1.385
数据7,7.0,20.466,27.1,6.634
数据8,8.0,18.135,16.5,1.635
数据9,9.0,20.466,18.9,1.566
数据10,10.0,20.466,15.0,5.466
数据11,11.0,21.515,18.9,2.615
数据12,12.0,20.466,21.7,1.234
数据13,13.0,23.057,20.4,2.657
数据14,14.0,21.515,18.2,3.315
数据15,15.0,23.382,19.9,3.482
数据16,16.0,24.497,23.1,1.397
数据17,17.0,19.428,17.5,1.928
数据18,18.0,22.437,20.2,2.237
数据19,19.0,20.53,18.2,2.33
数据20,20.0,16.877,13.6,3.277
数据21,21.0,20.206,19.6,0.606
数据22,22.0,18.118,15.2,2.918
数据23,23.0,17.096,14.5,2.596
数据24,24.0,19.428,15.6,3.828
数据25,25.0,18.186,13.9,4.286
数据26,26.0,18.186,16.6,1.586
数据27,27.0,19.428,14.8,4.628
数据28,28.0,21.515,18.4,3.115
数据29,29.0,23.663,21.0,2.663
数据30,30.0,17.096,12.7,4.396
数据31,31.0,21.515,14.5,7.015
数据32,32.0,18.118,13.2,4.918
数据33,33.0,16.877,13.1,3.777
数据34,34.0,18.118,13.5,4.618
数据35,35.0,21.515,18.9,2.615
数据36,36.0,21.515,20.0,1.515
数据37,37.0,24.497,21.0,3.497
数据38,38.0,21.515,24.7,3.185
数据39,39.0,28.117,30.8,2.683
数据40,40.0,32.37,34.9,2.53
数据41,41.0,30.264,26.6,3.664
数据42,42.0,24.497,25.3,0.803
数据43,43.0,24.497,24.7,0.203
数据44,44.0,21.515,21.2,0.315
数据45,45.0,21.839,19.3,2.539
数据46,46.0,21.515,20.0,1.515
数据47,47.0,20.466,16.6,3.866
数据48,48.0,18.135,14.4,3.735
数据49,49.0,19.224,19.4,0.176
数据50,50.0,22.954,19.7,3.254
数据51,51.0,24.497,20.5,3.997
数据52,52.0,24.497,25.0,0.503
数据53,53.0,24.497,23.4,1.097
数据54,54.0,20.867,18.9,1.967
数据55,55.0,30.769,35.4,4.631
数据56,56.0,26.191,24.7,1.491
数据57,57.0,31.929,31.6,0.329
数据58,58.0,24.497,23.3,1.197
数据59,59.0,24.497,19.6,4.897
数据60,60.0,22.954,18.7,4.254
数据61,61.0,21.906,16.0,5.906
数据62,62.0,24.497,22.2,2.297
数据63,63.0,28.339,25.0,3.339
数据64,64.0,28.339,33.0,4.661
数据65,65.0,28.117,23.5,4.617
数据66,66.0,22.954,19.4,3.554
数据67,67.0,24.497,22.0,2.497
数据68,68.0,20.273,17.4,2.873
数据69,69.0,24.497,20.9,3.597
数据70,70.0,24.497,24.2,0.297
数据71,71.0,23.279,21.7,1.579
数据72,72.0,24.822,22.8,2.022
数据73,73.0,24.497,23.4,1.097
