,编号,预测值,实际值,偏差
数据0,0.0,24.097,24.0,0.097
数据1,1.0,23.314,21.6,1.714
数据2,2.0,26.844,34.7,7.856
数据3,3.0,30.436,33.4,2.964
数据4,4.0,27.626,36.2,8.574
数据5,5.0,24.097,28.7,4.603
数据6,6.0,23.954,22.9,1.054
数据7,7.0,21.646,27.1,5.454
数据8,8.0,21.646,16.5,5.146
数据9,9.0,21.646,18.9,2.746
数据10,10.0,21.646,15.0,6.646
数据11,11.0,22.53,18.9,3.63
数据12,12.0,23.071,21.7,1.371
数据13,13.0,23.116,20.4,2.716
数据14,14.0,23.116,18.2,4.916
数据15,15.0,23.116,19.9,3.216
数据16,16.0,23.116,23.1,0.016
数据17,17.0,21.549,17.5,4.049
数据18,18.0,19.954,20.2,0.246
数据19,19.0,21.549,18.2,3.349
数据20,20.0,19.071,13.6,5.471
数据21,21.0,21.549,19.6,1.949
数据22,22.0,19.071,15.2,3.871
数据23,23.0,19.071,14.5,4.571
数据24,24.0,20.666,15.6,5.066
数据25,25.0,19.071,13.9,5.171
数据26,26.0,21.549,16.6,4.949
数据27,27.0,19.071,14.8,4.271
数据28,28.0,21.549,18.4,3.149
数据29,29.0,21.549,21.0,0.549
数据30,30.0,19.071,12.7,6.371
数据31,31.0,21.549,14.5,7.049
数据32,32.0,18.003,13.2,4.803
数据33,33.0,19.071,13.1,5.971
数据34,34.0,19.071,13.5,5.571
数据35,35.0,23.314,18.9,4.414
数据36,36.0,23.314,20.0,3.314
数据37,37.0,23.314,21.0,2.314
数据38,38.0,23.314,24.7,1.386
数据39,39.0,24.59,30.8,6.21
数据40,40.0,30.436,34.9,4.464
数据41,41.0,24.739,26.6,1.861
数据42,42.0,24.739,25.3,0.561
数据43,43.0,24.739,24.7,0.039
数据44,44.0,23.314,21.2,2.114
数据45,45.0,23.314,19.3,4.014
数据46,46.0,23.314,20.0,3.314
数据47,47.0,20.864,16.6,4.264
数据48,48.0,20.864,14.4,6.464
