,编号,预测值,实际值,偏差
数据0,0.0,15.3,24.0,8.7
数据1,1.0,17.8,21.6,3.8
数据2,2.0,17.8,34.7,16.9
数据3,3.0,18.7,33.4,14.7
数据4,4.0,18.7,36.2,17.5
数据5,5.0,18.7,28.7,10.0
数据6,6.0,15.2,22.9,7.7
数据7,7.0,15.2,27.1,11.9
数据8,8.0,15.2,16.5,1.3
数据9,9.0,15.2,18.9,3.7
数据10,10.0,15.2,15.0,0.2
数据11,11.0,15.2,18.9,3.7
数据12,12.0,15.2,21.7,6.5
数据13,13.0,21.0,20.4,0.6
数据14,14.0,21.0,18.2,2.8
数据15,15.0,21.0,19.9,1.1
数据16,16.0,21.0,23.1,2.1
数据17,17.0,21.0,17.5,3.5
数据18,18.0,21.0,20.2,0.8
数据19,19.0,21.0,18.2,2.8
数据20,20.0,21.0,13.6,7.4
数据21,21.0,21.0,19.6,1.4
数据22,22.0,21.0,15.2,5.8
数据23,23.0,21.0,14.5,6.5
数据24,24.0,21.0,15.6,5.4
数据25,25.0,21.0,13.9,7.1
数据26,26.0,21.0,16.6,4.4
数据27,27.0,21.0,14.8,6.2
数据28,28.0,21.0,18.4,2.6
数据29,29.0,21.0,21.0,0.0
数据30,30.0,21.0,12.7,8.3
数据31,31.0,21.0,14.5,6.5
数据32,32.0,21.0,13.2,7.8
数据33,33.0,21.0,13.1,7.9
数据34,34.0,21.0,13.5,7.5
数据35,35.0,19.2,18.9,0.3
数据36,36.0,19.2,20.0,0.8
数据37,37.0,19.2,21.0,1.8
数据38,38.0,19.2,24.7,5.5
数据39,39.0,18.3,30.8,12.5
数据40,40.0,18.3,34.9,16.6
数据41,41.0,17.9,26.6,8.7
数据42,42.0,17.9,25.3,7.4
数据43,43.0,17.9,24.7,6.8
数据44,44.0,17.9,21.2,3.3
数据45,45.0,17.9,19.3,1.4
数据46,46.0,17.9,20.0,2.1
数据47,47.0,17.9,16.6,1.3
数据48,48.0,17.9,14.4,3.5
数据49,49.0,17.9,19.4,1.5
数据50,50.0,16.8,19.7,2.9
数据51,51.0,16.8,20.5,3.7
数据52,52.0,16.8,25.0,8.2
数据53,53.0,16.8,23.4,6.6
数据54,54.0,21.1,18.9,2.2
数据55,55.0,17.9,35.4,17.5
数据56,56.0,17.3,24.7,7.4
数据57,57.0,15.1,31.6,16.5
数据58,58.0,19.7,23.3,3.6
数据59,59.0,19.7,19.6,0.1
数据60,60.0,19.7,18.7,1.0
数据61,61.0,19.7,16.0,3.7
数据62,62.0,19.7,22.2,2.5
数据63,63.0,19.7,25.0,5.3
数据64,64.0,18.6,33.0,14.4
数据65,65.0,16.1,23.5,7.4
数据66,66.0,16.1,19.4,3.3
数据67,67.0,18.9,22.0,3.1
数据68,68.0,18.9,17.4,1.5
数据69,69.0,18.9,20.9,2.0
数据70,70.0,19.2,24.2,5.0
数据71,71.0,19.2,21.7,2.5
数据72,72.0,19.2,22.8,3.6
数据73,73.0,19.2,23.4,4.2
数据74,74.0,18.7,24.1,5.4
数据75,75.0,18.7,21.4,2.7
数据76,76.0,18.7,20.0,1.3
数据77,77.0,18.7,20.8,2.1
数据78,78.0,18.7,21.2,2.5
数据79,79.0,18.7,20.3,1.6
数据80,80.0,19.0,28.0,9.0
数据81,81.0,19.0,23.9,4.9
数据82,82.0,19.0,24.8,5.8
数据83,83.0,19.0,22.9,3.9
数据84,84.0,18.5,23.9,5.4
数据85,85.0,18.5,26.6,8.1
数据86,86.0,18.5,22.5,4.0
数据87,87.0,18.5,22.2,3.7
数据88,88.0,17.8,23.6,5.8
数据89,89.0,17.8,28.7,10.9
数据90,90.0,17.8,22.6,4.8
数据91,91.0,17.8,22.0,4.2
数据92,92.0,18.2,22.9,4.7
数据93,93.0,18.2,25.0,6.8
数据94,94.0,18.2,20.6,2.4
数据95,95.0,18.0,28.4,10.4
数据96,96.0,18.0,21.4,3.4
数据97,97.0,18.0,38.7,20.7
数据98,98.0,18.0,43.8,25.8
数据99,99.0,18.0,33.2,15.2
数据100,100.0,20.9,27.5,6.6
数据101,101.0,20.9,26.5,5.6
数据102,102.0,20.9,18.6,2.3
数据103,103.0,20.9,19.3,1.6
数据104,104.0,20.9,20.1,0.8
数据105,105.0,20.9,19.5,1.4
数据106,106.0,20.9,19.5,1.4
数据107,107.0,20.9,20.4,0.5
数据108,108.0,20.9,19.8,1.1
数据109,109.0,20.9,19.4,1.5
数据110,110.0,20.9,21.7,0.8
数据111,111.0,17.8,22.8,5.0
数据112,112.0,17.8,18.8,1.0
数据113,113.0,17.8,18.7,0.9
数据114,114.0,17.8,18.5,0.7
数据115,115.0,17.8,18.3,0.5
数据116,116.0,17.8,21.2,3.4
数据117,117.0,17.8,19.2,1.4
数据118,118.0,17.8,20.4,2.6
数据119,119.0,17.8,19.3,1.5
数据120,120.0,19.1,22.0,2.9
数据121,121.0,19.1,20.3,1.2
数据122,122.0,19.1,20.5,1.4
数据123,123.0,19.1,17.3,1.8
数据124,124.0,19.1,18.8,0.3
数据125,125.0,19.1,21.4,2.3
数据126,126.0,19.1,15.7,3.4
数据127,127.0,21.2,16.2,5.0
数据128,128.0,21.2,18.0,3.2
数据129,129.0,21.2,14.3,6.9
数据130,130.0,21.2,19.2,2.0
数据131,131.0,21.2,19.6,1.6
数据132,132.0,21.2,23.0,1.8
数据133,133.0,21.2,18.4,2.8
数据134,134.0,21.2,15.6,5.6
数据135,135.0,21.2,18.1,3.1
数据136,136.0,21.2,17.4,3.8
数据137,137.0,21.2,17.1,4.1
数据138,138.0,21.2,13.3,7.9
数据139,139.0,21.2,17.8,3.4
数据140,140.0,21.2,14.0,7.2
数据141,141.0,21.2,14.4,6.8
数据142,142.0,14.7,13.4,1.3
数据143,143.0,14.7,15.6,0.9
数据144,144.0,14.7,11.8,2.9
数据145,145.0,14.7,13.8,0.9
数据146,146.0,14.7,15.6,0.9
数据147,147.0,14.7,14.6,0.1
数据148,148.0,14.7,17.8,3.1
数据149,149.0,14.7,15.4,0.7
数据150,150.0,14.7,21.5,6.8
数据151,151.0,14.7,19.6,4.9
数据152,152.0,14.7,15.3,0.6
数据153,153.0,14.7,19.4,4.7
数据154,154.0,14.7,17.0,2.3
数据155,155.0,14.7,15.6,0.9
数据156,156.0,14.7,13.1,1.6
数据157,157.0,14.7,41.3,26.6
数据158,158.0,14.7,24.3,9.6
数据159,159.0,14.7,23.3,8.6
数据160,160.0,14.7,27.0,12.3
数据161,161.0,14.7,50.0,35.3
数据162,162.0,14.7,50.0,35.3
数据163,163.0,14.7,50.0,35.3
数据164,164.0,14.7,22.7,8.0
数据165,165.0,14.7,25.0,10.3
数据166,166.0,14.7,50.0,35.3
