,编号,预测值,实际值,偏差
数据0,0.0,2.66,24.0,21.34
数据1,1.0,2.0,21.6,19.6
数据2,2.0,2.0,34.7,32.7
数据3,3.0,3.0,33.4,30.4
数据4,4.0,3.0,36.2,33.2
数据5,5.0,3.0,28.7,25.7
数据6,6.0,7.977,22.9,14.923
数据7,7.0,6.104,27.1,20.996
数据8,8.0,5.691,16.5,10.809
数据9,9.0,5.582,18.9,13.318
数据10,10.0,5.517,15.0,9.483
数据11,11.0,6.061,18.9,12.839
数据12,12.0,8.658,21.7,13.042
数据13,13.0,4.0,20.4,16.4
数据14,14.0,4.0,18.2,14.2
数据15,15.0,4.0,19.9,15.9
数据16,16.0,4.0,23.1,19.1
数据17,17.0,4.0,17.5,13.5
数据18,18.0,4.0,20.2,16.2
数据19,19.0,4.0,18.2,14.2
数据20,20.0,4.0,13.6,9.6
数据21,21.0,4.0,19.6,15.6
数据22,22.0,4.0,15.2,11.2
数据23,23.0,4.0,14.5,10.5
数据24,24.0,4.0,15.6,11.6
数据25,25.0,4.0,13.9,9.9
数据26,26.0,4.0,16.6,12.6
数据27,27.0,4.0,14.8,10.8
数据28,28.0,4.0,18.4,14.4
数据29,29.0,4.0,21.0,17.0
数据30,30.0,4.0,12.7,8.7
数据31,31.0,4.0,14.5,10.5
数据32,32.0,4.0,13.2,9.2
数据33,33.0,4.0,13.1,9.1
数据34,34.0,4.0,13.5,9.5
数据35,35.0,5.0,18.9,13.9
数据36,36.0,5.0,20.0,15.0
数据37,37.0,5.0,21.0,16.0
数据38,38.0,5.0,24.7,19.7
数据39,39.0,11.22,30.8,19.58
数据40,40.0,9.817,34.9,25.083
数据41,41.0,3.0,26.6,23.6
数据42,42.0,3.0,25.3,22.3
数据43,43.0,3.0,24.7,21.7
数据44,44.0,3.0,21.2,18.2
数据45,45.0,3.0,19.3,16.3
数据46,46.0,3.0,20.0,17.0
数据47,47.0,3.0,16.6,13.6
数据48,48.0,3.0,14.4,11.4
数据49,49.0,3.0,19.4,16.4
数据50,50.0,4.842,19.7,14.858
数据51,51.0,5.714,20.5,14.786
数据52,52.0,5.382,25.0,19.618
数据53,53.0,5.486,23.4,17.914
数据54,54.0,11.998,18.9,6.902
数据55,55.0,27.069,35.4,8.331
数据56,56.0,4.794,24.7,19.906
数据57,57.0,30.527,31.6,1.073
数据58,58.0,-9.797,23.3,33.097
数据59,59.0,3.469,19.6,16.131
数据60,60.0,3.648,18.7,15.052
数据61,61.0,5.405,16.0,10.595
数据62,62.0,2.142,22.2,20.058
数据63,63.0,-199.954,25.0,224.954
数据64,64.0,4.06,33.0,28.94
数据65,65.0,12.467,23.5,11.033
数据66,66.0,10.953,19.4,8.447
数据67,67.0,4.862,22.0,17.138
数据68,68.0,4.37,17.4,13.03
数据69,69.0,4.391,20.9,16.509
数据70,70.0,4.0,24.2,20.2
数据71,71.0,4.0,21.7,17.7
数据72,72.0,4.0,22.8,18.8
数据73,73.0,4.0,23.4,19.4
数据74,74.0,5.0,24.1,19.1
数据75,75.0,5.0,21.4,16.4
数据76,76.0,5.0,20.0,15.0
数据77,77.0,5.0,20.8,15.8
数据78,78.0,5.0,21.2,16.2
数据79,79.0,5.0,20.3,15.3
数据80,80.0,8.311,28.0,19.689
数据81,81.0,7.991,23.9,15.909
数据82,82.0,8.839,24.8,15.961
数据83,83.0,9.063,22.9,13.837
数据84,84.0,3.0,23.9,20.9
数据85,85.0,3.0,26.6,23.6
数据86,86.0,3.0,22.5,19.5
数据87,87.0,3.0,22.2,19.2
数据88,88.0,2.0,23.6,21.6
数据89,89.0,2.0,28.7,26.7
数据90,90.0,2.0,22.6,20.6
数据91,91.0,2.0,22.0,20.0
数据92,92.0,-15.954,22.9,38.854
数据93,93.0,-24.924,25.0,49.924
数据94,94.0,-12.878,20.6,33.478
数据95,95.0,2.0,28.4,26.4
数据96,96.0,2.0,21.4,19.4
数据97,97.0,2.0,38.7,36.7
数据98,98.0,2.0,43.8,41.8
数据99,99.0,2.0,33.2,31.2
数据100,100.0,5.0,27.5,22.5
数据101,101.0,5.0,26.5,21.5
数据102,102.0,5.0,18.6,13.6
数据103,103.0,5.0,19.3,14.3
数据104,104.0,5.0,20.1,15.1
数据105,105.0,5.0,19.5,14.5
数据106,106.0,5.0,19.5,14.5
数据107,107.0,5.0,20.4,15.4
数据108,108.0,5.0,19.8,14.8
数据109,109.0,5.0,19.4,14.4
数据110,110.0,5.0,21.7,16.7
数据111,111.0,6.0,22.8,16.8
数据112,112.0,6.0,18.8,12.8
数据113,113.0,6.0,18.7,12.7
数据114,114.0,6.0,18.5,12.5
数据115,115.0,6.0,18.3,12.3
数据116,116.0,6.0,21.2,15.2
数据117,117.0,6.0,19.2,13.2
数据118,118.0,6.0,20.4,14.4
数据119,119.0,6.0,19.3,13.3
数据120,120.0,2.0,22.0,20.0
数据121,121.0,2.0,20.3,18.3
数据122,122.0,2.0,20.5,18.5
数据123,123.0,2.0,17.3,15.3
数据124,124.0,2.0,18.8,16.8
数据125,125.0,2.0,21.4,19.4
数据126,126.0,2.0,15.7,13.7
数据127,127.0,4.0,16.2,12.2
数据128,128.0,4.0,18.0,14.0
数据129,129.0,4.0,14.3,10.3
数据130,130.0,4.0,19.2,15.2
数据131,131.0,4.0,19.6,15.6
数据132,132.0,4.0,23.0,19.0
数据133,133.0,4.0,18.4,14.4
数据134,134.0,4.0,15.6,11.6
数据135,135.0,4.0,18.1,14.1
数据136,136.0,4.0,17.4,13.4
数据137,137.0,4.0,17.1,13.1
数据138,138.0,4.0,13.3,9.3
数据139,139.0,4.0,17.8,13.8
数据140,140.0,4.0,14.0,10.0
数据141,141.0,4.0,14.4,10.4
数据142,142.0,5.0,13.4,8.4
数据143,143.0,5.0,15.6,10.6
数据144,144.0,5.0,11.8,6.8
数据145,145.0,5.0,13.8,8.8
数据146,146.0,5.0,15.6,10.6
数据147,147.0,5.0,14.6,9.6
数据148,148.0,5.0,17.8,12.8
数据149,149.0,5.0,15.4,10.4
数据150,150.0,5.0,21.5,16.5
数据151,151.0,5.0,19.6,14.6
数据152,152.0,5.0,15.3,10.3
数据153,153.0,5.0,19.4,14.4
数据154,154.0,5.0,17.0,12.0
数据155,155.0,5.0,15.6,10.6
数据156,156.0,5.0,13.1,8.1
数据157,157.0,5.0,41.3,36.3
数据158,158.0,5.0,24.3,19.3
数据159,159.0,5.0,23.3,18.3
数据160,160.0,5.0,27.0,22.0
数据161,161.0,5.0,50.0,45.0
数据162,162.0,5.0,50.0,45.0
数据163,163.0,5.0,50.0,45.0
数据164,164.0,5.0,22.7,17.7
数据165,165.0,5.0,25.0,20.0
数据166,166.0,5.0,50.0,45.0
数据167,167.0,5.0,23.8,18.8
数据168,168.0,5.0,23.8,18.8
数据169,169.0,5.0,22.3,17.3
数据170,170.0,5.0,17.4,12.4
数据171,171.0,5.0,19.1,14.1
数据172,172.0,5.0,23.1,18.1
数据173,173.0,5.0,23.6,18.6
数据174,174.0,5.0,22.6,17.6
数据175,175.0,5.0,29.4,24.4
数据176,176.0,5.0,23.2,18.2
数据177,177.0,5.0,24.6,19.6
数据178,178.0,5.0,29.9,24.9
数据179,179.0,3.0,37.2,34.2
数据180,180.0,3.0,39.8,36.8
数据181,181.0,3.0,36.2,33.2
数据182,182.0,3.0,37.9,34.9
数据183,183.0,3.0,32.5,29.5
数据184,184.0,3.0,26.4,23.4
数据185,185.0,3.0,29.6,26.6
数据186,186.0,3.0,50.0,47.0
数据187,187.0,-0.972,32.0,32.972
数据188,188.0,-5.765,29.8,35.565
数据189,189.0,-10.593,34.9,45.493
数据190,190.0,9.429,37.0,27.571
数据191,191.0,10.629,30.5,19.871
数据192,192.0,9.484,36.4,26.916
数据193,193.0,2.324,31.1,28.776
数据194,194.0,3.09,29.1,26.01
数据195,195.0,39.18,50.0,10.82
数据196,196.0,3.885,33.3,29.415
数据197,197.0,3.816,30.3,26.484
数据198,198.0,4.031,34.6,30.569
数据199,199.0,7.865,34.9,27.035
数据200,200.0,11.853,32.9,21.047
数据201,201.0,4.833,24.1,19.267
数据202,202.0,6.452,42.3,35.848
数据203,203.0,28.525,48.5,19.975
数据204,204.0,46.925,50.0,3.075
数据205,205.0,4.0,22.6,18.6
数据206,206.0,4.0,24.4,20.4
数据207,207.0,4.0,22.5,18.5
数据208,208.0,4.0,24.4,20.4
数据209,209.0,4.0,20.0,16.0
数据210,210.0,4.0,21.7,17.7
数据211,211.0,4.0,19.3,15.3
数据212,212.0,4.0,22.4,18.4
数据213,213.0,4.0,28.1,24.1
数据214,214.0,4.0,23.7,19.7
数据215,215.0,4.0,25.0,21.0
数据216,216.0,5.0,23.3,18.3
数据217,217.0,5.0,28.7,23.7
数据218,218.0,5.0,21.5,16.5
数据219,219.0,5.0,23.0,18.0
数据220,220.0,8.0,26.7,18.7
数据221,221.0,8.0,21.7,13.7
数据222,222.0,8.0,27.5,19.5
数据223,223.0,8.0,30.1,22.1
数据224,224.0,8.0,44.8,36.8
数据225,225.0,8.0,50.0,42.0
数据226,226.0,8.0,37.6,29.6
数据227,227.0,8.0,31.6,23.6
数据228,228.0,8.0,46.7,38.7
数据229,229.0,8.0,31.5,23.5
数据230,230.0,8.0,24.3,16.3
数据231,231.0,8.0,31.7,23.7
数据232,232.0,8.0,41.7,33.7
数据233,233.0,8.0,48.3,40.3
数据234,234.0,8.0,29.0,21.0
数据235,235.0,8.0,24.0,16.0
数据236,236.0,8.0,25.1,17.1
数据237,237.0,8.0,31.5,23.5
数据238,238.0,36.237,23.7,12.537
数据239,239.0,32.643,23.3,9.343
数据240,240.0,18.064,22.0,3.936
数据241,241.0,18.768,20.1,1.332
数据242,242.0,10.524,22.2,11.676
数据243,243.0,9.631,23.7,14.069
数据244,244.0,9.099,17.6,8.501
数据245,245.0,9.164,18.5,9.336
数据246,246.0,8.1,24.3,16.2
数据247,247.0,8.971,20.5,11.529
数据248,248.0,10.021,24.5,14.479
数据249,249.0,9.479,26.2,16.721
数据250,250.0,13.973,24.4,10.427
数据251,251.0,11.804,24.8,12.996
数据252,252.0,9.539,29.6,20.061
数据253,253.0,7.551,42.8,35.249
数据254,254.0,1.512,21.9,20.388
数据255,255.0,1.691,20.9,19.209
数据256,256.0,16.48,44.0,27.52
数据257,257.0,4.869,50.0,45.131
数据258,258.0,4.873,36.0,31.127
数据259,259.0,4.87,30.1,25.23
数据260,260.0,4.837,33.8,28.963
