,编号,预测值,实际值,偏差
数据0,0.0,6.575,24.0,17.425
数据1,1.0,6.421,21.6,15.179
数据2,2.0,7.185,34.7,27.515
数据3,3.0,6.998,33.4,26.402
数据4,4.0,7.147,36.2,29.053
数据5,5.0,6.43,28.7,22.27
数据6,6.0,6.012,22.9,16.888
数据7,7.0,6.172,27.1,20.928
数据8,8.0,5.631,16.5,10.869
数据9,9.0,6.004,18.9,12.896
数据10,10.0,6.377,15.0,8.623
数据11,11.0,6.009,18.9,12.891
数据12,12.0,5.889,21.7,15.811
数据13,13.0,5.949,20.4,14.451
数据14,14.0,6.096,18.2,12.104
数据15,15.0,5.834,19.9,14.066
数据16,16.0,5.935,23.1,17.165
数据17,17.0,5.99,17.5,11.51
数据18,18.0,5.456,20.2,14.744
数据19,19.0,5.727,18.2,12.473
数据20,20.0,5.57,13.6,8.03
数据21,21.0,5.965,19.6,13.635
数据22,22.0,6.142,15.2,9.058
数据23,23.0,5.813,14.5,8.687
数据24,24.0,5.924,15.6,9.676
数据25,25.0,5.599,13.9,8.301
数据26,26.0,5.813,16.6,10.787
数据27,27.0,6.047,14.8,8.753
数据28,28.0,6.495,18.4,11.905
数据29,29.0,6.674,21.0,14.326
数据30,30.0,5.713,12.7,6.987
数据31,31.0,6.072,14.5,8.428
数据32,32.0,5.95,13.2,7.25
数据33,33.0,5.701,13.1,7.399
数据34,34.0,6.096,13.5,7.404
数据35,35.0,5.933,18.9,12.967
数据36,36.0,5.841,20.0,14.159
数据37,37.0,5.85,21.0,15.15
数据38,38.0,5.966,24.7,18.734
数据39,39.0,6.595,30.8,24.205
数据40,40.0,7.024,34.9,27.876
数据41,41.0,6.77,26.6,19.83
数据42,42.0,6.169,25.3,19.131
数据43,43.0,6.211,24.7,18.489
数据44,44.0,6.069,21.2,15.131
数据45,45.0,5.682,19.3,13.618
数据46,46.0,5.786,20.0,14.214
数据47,47.0,6.03,16.6,10.57
数据48,48.0,5.399,14.4,9.001
数据49,49.0,5.602,19.4,13.798
数据50,50.0,5.963,19.7,13.737
数据51,51.0,6.115,20.5,14.385
数据52,52.0,6.511,25.0,18.489
数据53,53.0,5.998,23.4,17.402
数据54,54.0,5.888,18.9,13.012
数据55,55.0,7.249,35.4,28.151
数据56,56.0,6.383,24.7,18.317
数据57,57.0,6.816,31.6,24.784
数据58,58.0,6.145,23.3,17.155
数据59,59.0,5.927,19.6,13.673
数据60,60.0,5.741,18.7,12.959
数据61,61.0,5.966,16.0,10.034
数据62,62.0,6.456,22.2,15.744
数据63,63.0,6.762,25.0,18.238
数据64,64.0,7.104,33.0,25.896
