,编号,预测值,实际值,偏差
数据0,0.0,30.411,24.0,6.411
数据1,1.0,24.227,21.6,2.627
数据2,2.0,33.703,34.7,0.997
数据3,3.0,31.429,33.4,1.971
数据4,4.0,31.577,36.2,4.623
数据5,5.0,26.505,28.7,2.195
数据6,6.0,22.875,22.9,0.025
数据7,7.0,18.112,27.1,8.988
数据8,8.0,14.865,16.5,1.635
数据9,9.0,18.924,18.9,0.024
数据10,10.0,17.894,15.0,2.894
数据11,11.0,21.966,18.9,3.066
数据12,12.0,20.204,21.7,1.496
数据13,13.0,22.147,20.4,1.747
数据14,14.0,21.054,18.2,2.854
数据15,15.0,21.806,19.9,1.906
数据16,16.0,23.344,23.1,0.244
数据17,17.0,17.902,17.5,0.402
数据18,18.0,18.429,20.2,1.771
数据19,19.0,19.682,18.2,1.482
数据20,20.0,13.416,13.6,0.184
数据21,21.0,18.533,19.6,1.067
数据22,22.0,15.612,15.2,0.412
数据23,23.0,14.269,14.5,0.231
数据24,24.0,16.546,15.6,0.946
数据25,25.0,15.525,13.9,1.625
数据26,26.0,17.296,16.6,0.696
数据27,27.0,15.76,14.8,0.96
数据28,28.0,20.644,18.4,2.244
数据29,29.0,22.12,21.0,1.12
数据30,30.0,12.871,12.7,0.171
数据31,31.0,19.254,14.5,4.754
数据32,32.0,12.214,13.2,0.986
数据33,33.0,14.895,13.1,1.795
数据34,34.0,14.042,13.5,0.542
数据35,35.0,22.808,18.9,3.908
数据36,36.0,21.063,20.0,1.063
数据37,37.0,23.228,21.0,2.228
数据38,38.0,22.517,24.7,2.183
数据39,39.0,27.232,30.8,3.568
数据40,40.0,31.137,34.9,3.763
数据41,41.0,29.706,26.6,3.106
数据42,42.0,25.717,25.3,0.417
数据43,43.0,24.683,24.7,0.017
数据44,44.0,23.399,21.2,2.199
数据45,45.0,22.143,19.3,2.843
数据46,46.0,19.443,20.0,0.557
数据47,47.0,15.761,16.6,0.839
数据48,48.0,12.704,14.4,1.696
数据49,49.0,17.003,19.4,2.397
数据50,50.0,20.363,19.7,0.663
数据51,51.0,22.793,20.5,2.293
数据52,52.0,28.303,25.0,3.303
数据53,53.0,24.323,23.4,0.923
数据54,54.0,17.157,18.9,1.743
数据55,55.0,31.567,35.4,3.833
数据56,56.0,25.071,24.7,0.371
数据57,57.0,31.936,31.6,0.336
数据58,58.0,23.356,23.3,0.056
数据59,59.0,21.491,19.6,1.891
数据60,60.0,18.481,18.7,0.219
数据61,61.0,17.728,16.0,1.728
数据62,62.0,24.47,22.2,2.27
数据63,63.0,24.084,25.0,0.916
数据64,64.0,29.089,33.0,3.911
数据65,65.0,26.204,23.5,2.704
数据66,66.0,21.763,19.4,2.363
数据67,67.0,23.01,22.0,1.01
数据68,68.0,18.794,17.4,1.394
数据69,69.0,22.497,20.9,1.597
数据70,70.0,25.048,24.2,0.848
数据71,71.0,21.651,21.7,0.049
数据72,72.0,24.767,22.8,1.967
数据73,73.0,23.892,23.4,0.492
数据74,74.0,25.094,24.1,0.994
数据75,75.0,23.435,21.4,2.035
数据76,76.0,21.091,20.0,1.091
数据77,77.0,22.241,20.8,1.441
数据78,78.0,21.28,21.2,0.08
数据79,79.0,22.512,20.3,2.212
数据80,80.0,28.176,28.0,0.176
数据81,81.0,26.3,23.9,2.4
数据82,82.0,24.93,24.8,0.13
数据83,83.0,23.982,22.9,1.082
数据84,84.0,23.652,23.9,0.248
数据85,85.0,28.332,26.6,1.732
数据86,86.0,20.82,22.5,1.68
数据87,87.0,24.4,22.2,2.2
数据88,88.0,33.289,23.6,9.689
数据89,89.0,33.739,28.7,5.039
数据90,90.0,25.461,22.6,2.861
数据91,91.0,25.919,22.0,3.919
数据92,92.0,25.352,22.9,2.452
数据93,93.0,25.947,25.0,0.947
数据94,94.0,22.7,20.6,2.1
数据95,95.0,28.991,28.4,0.591
数据96,96.0,22.149,21.4,0.749
数据97,97.0,39.047,38.7,0.347
数据98,98.0,38.426,43.8,5.374
数据99,99.0,35.14,33.2,1.94
数据100,100.0,25.224,27.5,2.276
数据101,101.0,26.725,26.5,0.225
数据102,102.0,21.277,18.6,2.677
数据103,103.0,19.574,19.3,0.274
数据104,104.0,20.561,20.1,0.461
数据105,105.0,16.769,19.5,2.731
数据106,106.0,15.343,19.5,4.157
数据107,107.0,19.17,20.4,1.23
数据108,108.0,21.641,19.8,1.841
数据109,109.0,18.279,19.4,1.121
数据110,110.0,20.253,21.7,1.447
数据111,111.0,26.583,22.8,3.783
数据112,112.0,18.838,18.8,0.038
数据113,113.0,18.613,18.7,0.087
数据114,114.0,23.545,18.5,5.045
数据115,115.0,18.967,18.3,0.667
数据116,116.0,21.813,21.2,0.613
数据117,117.0,23.379,19.2,4.179
数据118,118.0,19.19,20.4,1.21
数据119,119.0,20.509,19.3,1.209
数据120,120.0,19.424,22.0,2.576
数据121,121.0,19.645,20.3,0.655
数据122,122.0,17.326,20.5,3.174
数据123,123.0,14.881,17.3,2.419
数据124,124.0,17.347,18.8,1.453
数据125,125.0,19.298,21.4,2.102
数据126,126.0,14.519,15.7,1.181
数据127,127.0,15.588,16.2,0.612
数据128,128.0,18.757,18.0,0.757
数据129,129.0,14.898,14.3,0.598
数据130,130.0,20.879,19.2,1.679
数据131,131.0,20.608,19.6,1.008
数据132,132.0,21.675,23.0,1.325
数据133,133.0,17.269,18.4,1.131
数据134,134.0,15.104,15.6,0.496
数据135,135.0,17.301,18.1,0.799
数据136,136.0,16.199,17.4,1.201
数据137,137.0,19.405,17.1,2.305
数据138,138.0,13.723,13.3,0.423
数据139,139.0,15.846,17.8,1.954
数据140,140.0,13.696,14.0,0.304
数据141,141.0,11.918,14.4,2.482
数据142,142.0,17.322,13.4,3.922
数据143,143.0,15.319,15.6,0.281
数据144,144.0,11.853,11.8,0.053
数据145,145.0,14.674,13.8,0.874
数据146,146.0,16.569,15.6,0.969
数据147,147.0,11.869,14.6,2.731
数据148,148.0,13.624,17.8,4.176
数据149,149.0,15.905,15.4,0.505
数据150,150.0,20.674,21.5,0.826
数据151,151.0,20.318,19.6,0.718
数据152,152.0,24.847,15.3,9.547
数据153,153.0,17.827,19.4,1.573
数据154,154.0,21.108,17.0,4.108
数据155,155.0,19.935,15.6,4.335
数据156,156.0,15.988,13.1,2.888
数据157,157.0,35.496,41.3,5.804
数据158,158.0,28.366,24.3,4.066
数据159,159.0,29.397,23.3,6.097
数据160,160.0,35.24,27.0,8.24
数据161,161.0,39.567,50.0,10.433
数据162,162.0,42.271,50.0,7.729
数据163,163.0,43.882,50.0,6.118
数据164,164.0,24.129,22.7,1.429
数据165,165.0,25.546,25.0,0.546
数据166,166.0,39.946,50.0,10.054
数据167,167.0,23.014,23.8,0.786
数据168,168.0,23.976,23.8,0.176
数据169,169.0,24.055,22.3,1.755
数据170,170.0,21.393,17.4,3.993
数据171,171.0,23.653,19.1,4.553
数据172,172.0,19.9,23.1,3.2
数据173,173.0,25.923,23.6,2.323
数据174,174.0,24.655,22.6,2.055
数据175,175.0,30.59,29.4,1.19
数据176,176.0,24.539,23.2,1.339
数据177,177.0,27.453,24.6,2.853
数据178,178.0,31.094,29.9,1.194
数据179,179.0,34.088,37.2,3.112
数据180,180.0,36.708,39.8,3.092
数据181,181.0,24.349,36.2,11.851
数据182,182.0,34.992,37.9,2.908
数据183,183.0,29.645,32.5,2.855
数据184,184.0,19.67,26.4,6.73
数据185,185.0,21.566,29.6,8.034
数据186,186.0,38.874,50.0,11.126
数据187,187.0,30.577,32.0,1.423
数据188,188.0,30.07,29.8,0.27
数据189,189.0,34.687,34.9,0.213
数据190,190.0,32.401,37.0,4.599
数据191,191.0,30.094,30.5,0.406
数据192,192.0,34.736,36.4,1.664
数据193,193.0,29.598,31.1,1.502
数据194,194.0,28.801,29.1,0.299
数据195,195.0,42.417,50.0,7.583
数据196,196.0,38.732,33.3,5.432
数据197,197.0,32.669,30.3,2.369
数据198,198.0,35.807,34.6,1.207
数据199,199.0,31.65,34.9,3.25
数据200,200.0,32.685,32.9,0.215
数据201,201.0,24.884,24.1,0.784
数据202,202.0,39.47,42.3,2.83
数据203,203.0,41.56,48.5,6.94
数据204,204.0,43.356,50.0,6.644
数据205,205.0,21.868,22.6,0.732
数据206,206.0,22.158,24.4,2.242
数据207,207.0,16.575,22.5,5.925
数据208,208.0,22.796,24.4,1.604
数据209,209.0,16.171,20.0,3.829
数据210,210.0,20.131,21.7,1.569
数据211,211.0,15.837,19.3,3.463
数据212,212.0,20.564,22.4,1.836
数据213,213.0,23.836,28.1,4.264
数据214,214.0,13.645,23.7,10.055
数据215,215.0,23.22,25.0,1.78
数据216,216.0,23.598,23.3,0.298
数据217,217.0,27.015,28.7,1.685
数据218,218.0,20.512,21.5,0.988
数据219,219.0,25.712,23.0,2.712
数据220,220.0,31.32,26.7,4.62
数据221,221.0,17.692,21.7,4.008
数据222,222.0,29.356,27.5,1.856
数据223,223.0,28.334,30.1,1.766
数据224,224.0,40.689,44.8,4.111
数据225,225.0,42.27,50.0,7.73
数据226,226.0,39.968,37.6,2.368
数据227,227.0,33.443,31.6,1.843
数据228,228.0,38.169,46.7,8.531
数据229,229.0,30.557,31.5,0.943
数据230,230.0,22.366,24.3,1.934
数据231,231.0,35.193,31.7,3.493
数据232,232.0,40.783,41.7,0.917
数据233,233.0,40.01,48.3,8.29
数据234,234.0,30.569,29.0,1.569
数据235,235.0,23.359,24.0,0.641
数据236,236.0,29.817,25.1,4.717
数据237,237.0,34.895,31.5,3.395
数据238,238.0,27.635,23.7,3.935
数据239,239.0,27.503,23.3,4.203
数据240,240.0,25.75,22.0,3.75
数据241,241.0,21.659,20.1,1.559
数据242,242.0,21.845,22.2,0.355
数据243,243.0,26.674,23.7,2.974
数据244,244.0,18.606,17.6,1.006
数据245,245.0,14.251,18.5,4.249
数据246,246.0,22.247,24.3,2.053
数据247,247.0,21.142,20.5,0.642
数据248,248.0,22.418,24.5,2.082
数据249,249.0,26.442,26.2,0.242
数据250,250.0,25.937,24.4,1.537
数据251,251.0,26.568,24.8,1.768
数据252,252.0,29.606,29.6,0.006
数据253,253.0,35.885,42.8,6.915
数据254,254.0,24.038,21.9,2.138
数据255,255.0,21.815,20.9,0.915
数据256,256.0,35.858,44.0,8.142
数据257,257.0,44.428,50.0,5.572
数据258,258.0,36.579,36.0,0.579
数据259,259.0,32.072,30.1,1.972
数据260,260.0,34.777,33.8,0.977
数据261,261.0,38.108,43.1,4.992
数据262,262.0,43.0,48.8,5.8
数据263,263.0,34.058,31.0,3.058
数据264,264.0,35.786,36.5,0.714
数据265,265.0,24.969,22.8,2.169
数据266,266.0,26.785,30.7,3.915
数据267,267.0,42.241,50.0,7.759
数据268,268.0,41.009,43.5,2.491
数据269,269.0,22.646,20.7,1.946
数据270,270.0,20.428,21.1,0.672
数据271,271.0,25.39,25.2,0.19
数据272,272.0,26.55,24.4,2.15
数据273,273.0,35.982,35.2,0.782
数据274,274.0,33.018,32.4,0.618
数据275,275.0,30.804,32.0,1.196
数据276,276.0,34.283,33.2,1.083
数据277,277.0,33.103,33.1,0.003
数据278,278.0,27.001,29.1,2.099
数据279,279.0,32.976,35.1,2.124
数据280,280.0,40.782,45.4,4.618
数据281,281.0,35.594,35.4,0.194
数据282,282.0,42.105,46.0,3.895
数据283,283.0,45.281,50.0,4.719
数据284,284.0,30.205,32.2,1.995
数据285,285.0,24.937,22.0,2.937
数据286,286.0,19.375,20.1,0.725
数据287,287.0,24.56,23.2,1.36
数据288,288.0,24.518,22.3,2.218
数据289,289.0,24.894,24.8,0.094
数据290,290.0,28.164,28.5,0.336
