,编号,预测值,实际值,偏差
数据0,0.0,16.248,15.0,1.248
数据1,1.0,16.248,18.9,2.652
数据2,2.0,16.248,21.7,5.452
数据3,3.0,22.076,20.4,1.676
数据4,4.0,22.076,18.2,3.876
数据5,5.0,22.076,19.9,2.176
数据6,6.0,22.076,23.1,1.024
数据7,7.0,22.076,17.5,4.576
数据8,8.0,22.076,20.2,1.876
数据9,9.0,22.076,18.2,3.876
数据10,10.0,22.076,13.6,8.476
数据11,11.0,22.076,19.6,2.476
数据12,12.0,22.076,15.2,6.876
数据13,13.0,22.076,14.5,7.576
数据14,14.0,22.076,15.6,6.476
数据15,15.0,22.076,13.9,8.176
数据16,16.0,22.076,16.6,5.476
数据17,17.0,22.076,14.8,7.276
数据18,18.0,22.076,18.4,3.676
数据19,19.0,22.076,21.0,1.076
数据20,20.0,22.076,12.7,9.376
数据21,21.0,22.076,14.5,7.576
数据22,22.0,22.076,13.2,8.876
数据23,23.0,22.076,13.1,8.976
数据24,24.0,22.076,13.5,8.576
数据25,25.0,20.198,18.9,1.298
数据26,26.0,20.198,20.0,0.198
数据27,27.0,20.198,21.0,0.802
数据28,28.0,20.198,24.7,4.502
数据29,29.0,19.156,30.8,11.644
数据30,30.0,19.156,34.9,15.744
数据31,31.0,18.796,26.6,7.804
数据32,32.0,18.796,25.3,6.504
数据33,33.0,18.796,24.7,5.904
数据34,34.0,18.796,21.2,2.404
数据35,35.0,18.796,19.3,0.504
数据36,36.0,18.796,20.0,1.204
数据37,37.0,18.796,16.6,2.196
数据38,38.0,18.796,14.4,4.396
数据39,39.0,18.796,19.4,0.604
数据40,40.0,17.678,19.7,2.022
数据41,41.0,17.678,20.5,2.822
数据42,42.0,17.678,25.0,7.322
数据43,43.0,17.678,23.4,5.722
数据44,44.0,21.92,18.9,3.02
数据45,45.0,18.706,35.4,16.694
数据46,46.0,18.12,24.7,6.58
数据47,47.0,15.922,31.6,15.678
数据48,48.0,20.606,23.3,2.694
数据49,49.0,20.606,19.6,1.006
数据50,50.0,20.606,18.7,1.906
数据51,51.0,20.606,16.0,4.606
数据52,52.0,20.606,22.2,1.594
数据53,53.0,20.606,25.0,4.394
数据54,54.0,19.432,33.0,13.568
数据55,55.0,16.896,23.5,6.604
数据56,56.0,16.896,19.4,2.504
数据57,57.0,19.718,22.0,2.282
数据58,58.0,19.718,17.4,2.318
数据59,59.0,19.718,20.9,1.182
数据60,60.0,20.026,24.2,4.174
数据61,61.0,20.026,21.7,1.674
数据62,62.0,20.026,22.8,2.774
数据63,63.0,20.026,23.4,3.374
数据64,64.0,19.574,24.1,4.526
数据65,65.0,19.574,21.4,1.826
数据66,66.0,19.574,20.0,0.426
数据67,67.0,19.574,20.8,1.226
数据68,68.0,19.574,21.2,1.626
数据69,69.0,19.574,20.3,0.726
数据70,70.0,19.852,28.0,8.148
数据71,71.0,19.852,23.9,4.048
数据72,72.0,19.852,24.8,4.948
数据73,73.0,19.852,22.9,3.048
数据74,74.0,19.398,23.9,4.502
数据75,75.0,19.398,26.6,7.202
数据76,76.0,19.398,22.5,3.102
数据77,77.0,19.398,22.2,2.802
数据78,78.0,18.778,23.6,4.822
数据79,79.0,18.778,28.7,9.922
数据80,80.0,18.778,22.6,3.822
数据81,81.0,18.778,22.0,3.222
数据82,82.0,19.128,22.9,3.772
数据83,83.0,19.128,25.0,5.872
数据84,84.0,19.128,20.6,1.472
数据85,85.0,18.89,28.4,9.51
数据86,86.0,18.89,21.4,2.51
数据87,87.0,18.89,38.7,19.81
数据88,88.0,18.89,43.8,24.91
数据89,89.0,18.89,33.2,14.31
数据90,90.0,21.94,27.5,5.56
