,编号,预测值,实际值,偏差
数据0,0.0,23.229,24.0,0.771
数据1,1.0,23.229,21.6,1.629
数据2,2.0,31.498,34.7,3.202
数据3,3.0,28.692,33.4,4.708
数据4,4.0,31.498,36.2,4.702
数据5,5.0,23.68,28.7,5.02
数据6,6.0,23.229,22.9,0.329
数据7,7.0,20.671,27.1,6.429
数据8,8.0,18.438,16.5,1.938
数据9,9.0,20.671,18.9,1.771
数据10,10.0,20.671,15.0,5.671
数据11,11.0,20.671,18.9,1.771
数据12,12.0,19.455,21.7,2.245
数据13,13.0,22.013,20.4,1.613
数据14,14.0,23.229,18.2,5.029
数据15,15.0,22.013,19.9,2.113
数据16,16.0,22.013,23.1,1.087
数据17,17.0,19.455,17.5,1.955
数据18,18.0,22.013,20.2,1.813
数据19,19.0,22.013,18.2,3.813
数据20,20.0,19.455,13.6,5.855
数据21,21.0,19.455,19.6,0.145
数据22,22.0,20.671,15.2,5.471
数据23,23.0,19.455,14.5,4.955
数据24,24.0,19.455,15.6,3.855
数据25,25.0,19.455,13.9,5.555
数据26,26.0,19.455,16.6,2.855
数据27,27.0,20.671,14.8,5.871
数据28,28.0,21.358,18.4,2.958
数据29,29.0,21.358,21.0,0.358
数据30,30.0,19.455,12.7,6.755
数据31,31.0,20.671,14.5,6.171
数据32,32.0,19.455,13.2,6.255
数据33,33.0,19.455,13.1,6.355
数据34,34.0,20.671,13.5,7.171
数据35,35.0,22.013,18.9,3.113
数据36,36.0,22.013,20.0,2.013
数据37,37.0,22.013,21.0,1.013
数据38,38.0,22.013,24.7,2.687
数据39,39.0,26.897,30.8,3.903
数据40,40.0,28.692,34.9,6.208
数据41,41.0,26.897,26.6,0.297
数据42,42.0,23.68,25.3,1.62
数据43,43.0,23.68,24.7,1.02
数据44,44.0,23.68,21.2,2.48
数据45,45.0,22.463,19.3,3.163
数据46,46.0,20.572,20.0,0.572
数据47,47.0,20.671,16.6,4.071
数据48,48.0,19.455,14.4,5.055
数据49,49.0,20.572,19.4,1.172
数据50,50.0,20.572,19.7,0.872
数据51,51.0,23.229,20.5,2.729
数据52,52.0,26.897,25.0,1.897
数据53,53.0,23.68,23.4,0.28
数据54,54.0,19.555,18.9,0.655
数据55,55.0,33.226,35.4,2.174
数据56,56.0,25.168,24.7,0.468
数据57,57.0,26.897,31.6,4.703
数据58,58.0,23.68,23.3,0.38
