,编号,预测值,实际值,偏差
数据0,0.0,20.505,15.0,5.505
数据1,1.0,13.309,18.9,5.591
数据2,2.0,15.747,21.7,5.953
数据3,3.0,8.414,20.4,11.986
数据4,4.0,10.424,18.2,7.776
数据5,5.0,8.63,19.9,11.27
数据6,6.0,6.835,23.1,16.265
数据7,7.0,14.875,17.5,2.625
数据8,8.0,11.93,20.2,8.27
数据9,9.0,11.492,18.2,6.708
数据10,10.0,21.371,13.6,7.771
数据11,11.0,14.063,19.6,5.537
数据12,12.0,19.05,15.2,3.85
数据13,13.0,20.142,14.5,5.642
数据14,14.0,16.491,15.6,0.891
数据15,15.0,16.726,13.9,2.826
数据16,16.0,14.975,16.6,1.625
数据17,17.0,17.521,14.8,2.721
数据18,18.0,12.995,18.4,5.405
数据19,19.0,12.238,21.0,8.762
数据20,20.0,22.89,12.7,10.19
数据21,21.0,13.386,14.5,1.114
数据22,22.0,28.093,13.2,14.893
数据23,23.0,18.677,13.1,5.577
数据24,24.0,20.802,13.5,7.302
数据25,25.0,9.714,18.9,9.186
数据26,26.0,11.455,20.0,8.545
数据27,27.0,8.805,21.0,12.195
数据28,28.0,10.191,24.7,14.509
数据29,29.0,4.333,30.8,26.467
数据30,30.0,1.994,34.9,32.906
数据31,31.0,4.88,26.6,21.72
数据32,32.0,5.853,25.3,19.447
数据33,33.0,7.485,24.7,17.215
数据34,34.0,9.589,21.2,11.611
数据35,35.0,10.261,19.3,9.039
数据36,36.0,14.204,20.0,5.796
数据37,37.0,18.858,16.6,2.258
数据38,38.0,30.871,14.4,16.471
数据39,39.0,16.254,19.4,3.146
数据40,40.0,13.477,19.7,6.223
数据41,41.0,9.451,20.5,11.049
数据42,42.0,5.302,25.0,19.698
数据43,43.0,8.452,23.4,14.948
数据44,44.0,14.812,18.9,4.088
数据45,45.0,4.815,35.4,30.585
数据46,46.0,5.774,24.7,18.926
数据47,47.0,3.955,31.6,27.645
数据48,48.0,6.893,23.3,16.407
数据49,49.0,9.248,19.6,10.352
数据50,50.0,13.184,18.7,5.516
数据51,51.0,14.479,16.0,1.521
数据52,52.0,6.758,22.2,15.442
数据53,53.0,9.529,25.0,15.471
数据54,54.0,8.056,33.0,24.944
数据55,55.0,4.684,23.5,18.816
数据56,56.0,10.255,19.4,9.145
数据57,57.0,8.124,22.0,13.876
数据58,58.0,13.126,17.4,4.274
数据59,59.0,8.825,20.9,12.075
数据60,60.0,6.765,24.2,17.435
数据61,61.0,9.939,21.7,11.761
数据62,62.0,5.565,22.8,17.235
数据63,63.0,7.606,23.4,15.794
数据64,64.0,6.831,24.1,17.269
数据65,65.0,8.995,21.4,12.405
数据66,66.0,12.029,20.0,7.971
数据67,67.0,10.324,20.8,10.476
数据68,68.0,12.384,21.2,8.816
数据69,69.0,9.151,20.3,11.149
数据70,70.0,5.31,28.0,22.69
数据71,71.0,7.241,23.9,16.659
数据72,72.0,6.739,24.8,18.061
数据73,73.0,7.529,22.9,15.371
数据74,74.0,9.642,23.9,14.258
数据75,75.0,6.554,26.6,20.046
数据76,76.0,12.883,22.5,9.617
数据77,77.0,8.47,22.2,13.73
数据78,78.0,5.525,23.6,18.075
数据79,79.0,5.724,28.7,22.976
数据80,80.0,8.834,22.6,13.766
数据81,81.0,8.221,22.0,13.779
数据82,82.0,8.21,22.9,14.69
数据83,83.0,6.256,25.0,18.744
数据84,84.0,10.64,20.6,9.96
数据85,85.0,6.693,28.4,21.707
数据86,86.0,11.38,21.4,10.02
数据87,87.0,4.252,38.7,34.448
数据88,88.0,3.601,43.8,40.199
数据89,89.0,6.217,33.2,26.983
数据90,90.0,9.495,27.5,18.005
