,编号,预测值,实际值,偏差
数据0,0.0,6.087,24.0,17.913
数据1,1.0,5.03,21.6,16.57
数据2,2.0,6.429,34.7,28.271
数据3,3.0,8.616,33.4,24.784
数据4,4.0,7.323,36.2,28.877
数据5,5.0,6.714,28.7,21.986
数据6,6.0,5.94,22.9,16.96
数据7,7.0,4.13,27.1,22.97
数据8,8.0,3.866,16.5,12.634
数据9,9.0,4.502,18.9,14.398
数据10,10.0,4.162,15.0,10.838
数据11,11.0,4.788,18.9,14.112
数据12,12.0,10.013,21.7,11.687
数据13,13.0,6.422,20.4,13.978
数据14,14.0,4.497,18.2,13.703
数据15,15.0,7.002,19.9,12.898
数据16,16.0,13.203,23.1,9.897
数据17,17.0,4.734,17.5,12.766
数据18,18.0,7.896,20.2,12.304
数据19,19.0,5.625,18.2,12.575
数据20,20.0,3.839,13.6,9.761
数据21,21.0,4.401,19.6,15.199
数据22,22.0,4.328,15.2,10.872
数据23,23.0,3.945,14.5,10.555
数据24,24.0,4.191,15.6,11.409
数据25,25.0,3.54,13.9,10.36
数据26,26.0,4.174,16.6,12.426
数据27,27.0,3.45,14.8,11.35
数据28,28.0,4.11,18.4,14.29
数据29,29.0,4.355,21.0,16.645
数据30,30.0,3.828,12.7,8.872
数据31,31.0,3.767,14.5,10.733
数据32,32.0,2.837,13.2,10.363
数据33,33.0,3.777,13.1,9.323
数据34,34.0,2.563,13.5,10.937
数据35,35.0,5.82,18.9,13.08
数据36,36.0,6.149,20.0,13.851
数据37,37.0,9.564,21.0,11.436
数据38,38.0,13.027,24.7,11.673
数据39,39.0,18.148,30.8,12.652
数据40,40.0,25.039,34.9,9.861
数据41,41.0,132.9,26.6,106.3
数据42,42.0,58.086,25.3,32.786
数据43,43.0,60.686,24.7,35.986
数据44,44.0,9.735,21.2,11.465
数据45,45.0,11.743,19.3,7.557
数据46,46.0,11.919,20.0,8.081
数据47,47.0,4.593,16.6,12.007
数据48,48.0,4.165,14.4,10.235
数据49,49.0,6.402,19.4,12.998
数据50,50.0,8.656,19.7,11.044
数据51,51.0,6.253,20.5,14.247
数据52,52.0,18.81,25.0,6.19
数据53,53.0,18.547,23.4,4.853
数据54,54.0,8.338,18.9,10.562
数据55,55.0,18.079,35.4,17.321
数据56,56.0,11.118,24.7,13.582
数据57,57.0,9.701,31.6,21.899
数据58,58.0,13.379,23.3,9.921
数据59,59.0,8.409,19.6,11.191
数据60,60.0,5.968,18.7,12.732
数据61,61.0,4.048,16.0,11.952
数据62,62.0,5.854,22.2,16.346
数据63,63.0,9.115,25.0,15.885
数据64,64.0,6.609,33.0,26.391
数据65,65.0,22.298,23.5,1.202
数据66,66.0,12.762,19.4,6.638
数据67,67.0,18.514,22.0,3.486
数据68,68.0,10.785,17.4,6.615
数据69,69.0,12.027,20.9,8.873
数据70,70.0,58.141,24.2,33.941
数据71,71.0,21.539,21.7,0.161
数据72,72.0,50.117,22.8,27.317
数据73,73.0,60.834,23.4,37.434
数据74,74.0,65.82,24.1,41.72
数据75,75.0,8.516,21.4,12.884
数据76,76.0,5.016,20.0,14.984
数据77,77.0,8.449,20.8,12.351
数据78,78.0,7.196,21.2,14.004
数据79,79.0,10.821,20.3,9.479
数据80,80.0,11.848,28.0,16.152
数据81,81.0,5.62,23.9,18.28
数据82,82.0,12.326,24.8,12.474
数据83,83.0,8.365,22.9,14.535
数据84,84.0,8.269,23.9,15.631
数据85,85.0,6.993,26.6,19.607
数据86,86.0,8.78,22.5,13.72
数据87,87.0,6.957,22.2,15.243
数据88,88.0,4.599,23.6,19.001
数据89,89.0,6.277,28.7,22.423
数据90,90.0,5.933,22.6,16.667
数据91,91.0,5.325,22.0,16.675
数据92,92.0,7.37,22.9,15.53
数据93,93.0,13.714,25.0,11.286
数据94,94.0,5.135,20.6,15.465
数据95,95.0,6.193,28.4,22.207
数据96,96.0,5.63,21.4,15.77
数据97,97.0,5.222,38.7,33.478
数据98,98.0,10.665,43.8,33.135
数据99,99.0,6.35,33.2,26.85
数据100,100.0,4.941,27.5,22.559
数据101,101.0,5.548,26.5,20.952
数据102,102.0,0.829,18.6,17.771
数据103,103.0,4.513,19.3,14.787
数据104,104.0,4.363,20.1,15.737
数据105,105.0,4.075,19.5,15.425
数据106,106.0,4.305,19.5,15.195
数据107,107.0,4.55,20.4,15.85
数据108,108.0,4.07,19.8,15.73
数据109,109.0,4.29,19.4,15.11
数据110,110.0,7.233,21.7,14.467
数据111,111.0,4.848,22.8,17.952
数据112,112.0,4.251,18.8,14.549
数据113,113.0,4.16,18.7,14.54
数据114,114.0,4.617,18.5,13.883
数据115,115.0,3.911,18.3,14.389
数据116,116.0,5.425,21.2,15.775
数据117,117.0,4.776,19.2,14.424
数据118,118.0,4.632,20.4,15.768
数据119,119.0,6.005,19.3,13.295
数据120,120.0,5.583,22.0,16.417
数据121,121.0,4.491,20.3,15.809
数据122,122.0,4.07,20.5,16.43
数据123,123.0,3.818,17.3,13.482
数据124,124.0,3.96,18.8,14.84
数据125,125.0,4.355,21.4,17.045
数据126,126.0,3.758,15.7,11.942
数据127,127.0,4.084,16.2,12.116
数据128,128.0,4.017,18.0,13.983
数据129,129.0,4.191,14.3,10.109
数据130,130.0,3.994,19.2,15.206
数据131,131.0,4.062,19.6,15.538
数据132,132.0,3.94,23.0,19.06
数据133,133.0,4.074,18.4,14.326
数据134,134.0,2.67,15.6,12.93
数据135,135.0,4.019,18.1,14.081
数据136,136.0,4.045,17.4,13.355
数据137,137.0,4.005,17.1,13.095
数据138,138.0,3.992,13.3,9.308
数据139,139.0,4.054,17.8,13.746
数据140,140.0,4.146,14.0,9.854
数据141,141.0,3.969,14.4,10.431
数据142,142.0,4.969,13.4,8.431
数据143,143.0,3.969,15.6,11.631
数据144,144.0,4.058,11.8,7.742
数据145,145.0,1.729,13.8,12.071
数据146,146.0,1.693,15.6,13.907
数据147,147.0,4.093,14.6,10.507
数据148,148.0,3.806,17.8,13.994
数据149,149.0,3.708,15.4,11.692
数据150,150.0,3.831,21.5,17.669
数据151,151.0,3.416,19.6,16.184
数据152,152.0,4.901,15.3,10.399
数据153,153.0,2.659,19.4,16.741
数据154,154.0,4.344,17.0,12.656
数据155,155.0,2.065,15.6,13.535
数据156,156.0,0.943,13.1,12.157
数据157,157.0,3.731,41.3,37.569
数据158,158.0,3.539,24.3,20.761
数据159,159.0,3.643,23.3,19.657
数据160,160.0,4.66,27.0,22.34
数据161,161.0,4.124,50.0,45.876
数据162,162.0,4.968,50.0,45.032
数据163,163.0,5.137,50.0,44.863
数据164,164.0,4.304,22.7,18.396
数据165,165.0,2.582,25.0,22.418
数据166,166.0,3.839,50.0,46.161
数据167,167.0,2.874,23.8,20.926
数据168,168.0,3.091,23.8,20.709
数据169,169.0,3.467,22.3,18.833
数据170,170.0,3.09,17.4,14.31
数据171,171.0,3.578,19.1,15.522
数据172,172.0,4.485,23.1,18.615
数据173,173.0,4.703,23.6,18.897
数据174,174.0,5.724,22.6,16.876
数据175,175.0,11.811,29.4,17.589
数据176,176.0,8.331,23.2,14.869
数据177,177.0,5.39,24.6,19.21
数据178,178.0,5.259,29.9,24.641
数据179,179.0,6.796,37.2,30.404
数据180,180.0,4.749,39.8,35.051
数据181,181.0,6.381,36.2,29.819
数据182,182.0,4.275,37.9,33.625
数据183,183.0,4.152,32.5,28.348
数据184,184.0,4.354,26.4,22.046
数据185,185.0,5.627,29.6,23.973
数据186,186.0,7.325,50.0,42.675
数据187,187.0,9.583,32.0,22.417
数据188,188.0,13.156,29.8,16.644
数据189,189.0,10.203,34.9,24.697
数据190,190.0,17.567,37.0,19.433
数据191,191.0,12.653,30.5,17.847
数据192,192.0,14.848,36.4,21.552
数据193,193.0,39.734,31.1,8.634
数据194,194.0,20.037,29.1,9.063
数据195,195.0,12.32,50.0,37.68
数据196,196.0,11.639,33.3,21.661
数据197,197.0,9.681,30.3,20.619
数据198,198.0,10.24,34.6,24.36
数据199,199.0,25.941,34.9,8.959
数据200,200.0,27.647,32.9,5.253
数据201,201.0,10.254,24.1,13.846
数据202,202.0,25.183,42.3,17.117
数据203,203.0,11.831,48.5,36.669
数据204,204.0,12.243,50.0,37.757
数据205,205.0,17.798,22.6,4.802
数据206,206.0,7.521,24.4,16.879
数据207,207.0,5.357,22.5,17.143
数据208,208.0,7.452,24.4,16.948
数据209,209.0,4.969,20.0,15.031
数据210,210.0,5.27,21.7,16.43
数据211,211.0,5.461,19.3,13.839
数据212,212.0,8.267,22.4,14.133
数据213,213.0,11.945,28.1,16.155
数据214,214.0,35.605,23.7,11.905
数据215,215.0,9.284,25.0,15.716
数据216,216.0,8.014,23.3,15.286
数据217,217.0,4.616,28.7,24.084
数据218,218.0,5.231,21.5,16.269
数据219,219.0,5.261,23.0,17.739
数据220,220.0,5.426,26.7,21.274
数据221,221.0,5.329,21.7,16.371
数据222,222.0,6.024,27.5,21.476
数据223,223.0,4.912,30.1,25.188
数据224,224.0,4.918,44.8,39.882
数据225,225.0,4.602,50.0,45.398
数据226,226.0,4.478,37.6,33.122
数据227,227.0,4.657,31.6,26.943
数据228,228.0,22.206,46.7,24.494
数据229,229.0,17.773,31.5,13.727
数据230,230.0,5.556,24.3,18.744
数据231,231.0,4.891,31.7,26.809
数据232,232.0,5.265,41.7,36.435
数据233,233.0,5.383,48.3,42.917
数据234,234.0,6.417,29.0,22.583
数据235,235.0,6.126,24.0,17.874
数据236,236.0,6.078,25.1,19.022
数据237,237.0,5.448,31.5,26.052
数据238,238.0,20.509,23.7,3.191
数据239,239.0,9.094,23.3,14.206
数据240,240.0,7.205,22.0,14.795
数据241,241.0,6.062,20.1,14.038
数据242,242.0,7.046,22.2,15.154
数据243,243.0,48.04,23.7,24.34
数据244,244.0,4.869,17.6,12.731
数据245,245.0,5.543,18.5,12.957
数据246,246.0,11.18,24.3,13.12
数据247,247.0,4.749,20.5,15.751
数据248,248.0,7.632,24.5,16.868
数据249,249.0,22.499,26.2,3.701
数据250,250.0,30.483,24.4,6.083
数据251,251.0,42.367,24.8,17.567
数据252,252.0,56.778,29.6,27.178
数据253,253.0,47.25,42.8,4.45
数据254,254.0,12.278,21.9,9.622
数据255,255.0,20.69,20.9,0.21
数据256,256.0,11.296,44.0,32.704
数据257,257.0,4.484,50.0,45.516
数据258,258.0,3.833,36.0,32.167
数据259,259.0,3.919,30.1,26.181
数据260,260.0,4.802,33.8,28.998
数据261,261.0,4.344,43.1,38.756
数据262,262.0,4.228,48.8,44.572
数据263,263.0,4.163,31.0,26.837
数据264,264.0,4.235,36.5,32.265
数据265,265.0,6.248,22.8,16.552
数据266,266.0,4.54,30.7,26.16
数据267,267.0,5.739,50.0,44.261
数据268,268.0,7.42,43.5,36.08
数据269,269.0,7.363,20.7,13.337
数据270,270.0,9.232,21.1,11.868
数据271,271.0,24.35,25.2,0.85
数据272,272.0,6.728,24.4,17.672
数据273,273.0,8.544,35.2,26.656
数据274,274.0,13.064,32.4,19.336
数据275,275.0,9.273,32.0,22.727
数据276,276.0,8.944,33.2,24.256
数据277,277.0,15.255,33.1,17.845
数据278,278.0,12.364,29.1,16.736
数据279,279.0,12.326,35.1,22.774
数据280,280.0,6.005,45.4,39.395
数据281,281.0,10.544,35.4,24.856
数据282,282.0,8.587,46.0,37.413
数据283,283.0,16.948,50.0,33.052
数据284,284.0,18.977,32.2,13.223
数据285,285.0,12.374,22.0,9.626
数据286,286.0,10.844,20.1,9.256
数据287,287.0,12.681,23.2,10.519
数据288,288.0,8.704,22.3,13.596
数据289,289.0,16.232,24.8,8.568
数据290,290.0,14.226,28.5,14.274
数据291,291.0,14.329,37.3,22.971
数据292,292.0,16.962,27.9,10.938
数据293,293.0,21.571,23.9,2.329
数据294,294.0,9.383,21.7,12.317
数据295,295.0,12.762,28.6,15.838
数据296,296.0,7.703,27.1,19.397
数据297,297.0,6.843,20.3,13.457
数据298,298.0,18.32,22.5,4.18
数据299,299.0,37.158,29.0,8.158
