,编号,预测值,实际值,偏差
数据0,0.0,2.31,24.0,21.69
数据1,1.0,7.07,21.6,14.53
数据2,2.0,7.07,34.7,27.63
数据3,3.0,2.18,33.4,31.22
数据4,4.0,2.18,36.2,34.02
数据5,5.0,2.18,28.7,26.52
数据6,6.0,7.87,22.9,15.03
数据7,7.0,7.87,27.1,19.23
数据8,8.0,7.87,16.5,8.63
数据9,9.0,7.87,18.9,11.03
数据10,10.0,7.87,15.0,7.13
数据11,11.0,7.87,18.9,11.03
数据12,12.0,7.87,21.7,13.83
数据13,13.0,8.14,20.4,12.26
数据14,14.0,8.14,18.2,10.06
数据15,15.0,8.14,19.9,11.76
数据16,16.0,8.14,23.1,14.96
数据17,17.0,8.14,17.5,9.36
数据18,18.0,8.14,20.2,12.06
数据19,19.0,8.14,18.2,10.06
数据20,20.0,8.14,13.6,5.46
数据21,21.0,8.14,19.6,11.46
数据22,22.0,8.14,15.2,7.06
数据23,23.0,8.14,14.5,6.36
数据24,24.0,8.14,15.6,7.46
数据25,25.0,8.14,13.9,5.76
数据26,26.0,8.14,16.6,8.46
数据27,27.0,8.14,14.8,6.66
数据28,28.0,8.14,18.4,10.26
数据29,29.0,8.14,21.0,12.86
数据30,30.0,8.14,12.7,4.56
数据31,31.0,8.14,14.5,6.36
数据32,32.0,8.14,13.2,5.06
数据33,33.0,8.14,13.1,4.96
数据34,34.0,8.14,13.5,5.36
数据35,35.0,5.96,18.9,12.94
数据36,36.0,5.96,20.0,14.04
数据37,37.0,5.96,21.0,15.04
数据38,38.0,5.96,24.7,18.74
数据39,39.0,2.95,30.8,27.85
数据40,40.0,2.95,34.9,31.95
数据41,41.0,6.91,26.6,19.69
数据42,42.0,6.91,25.3,18.39
数据43,43.0,6.91,24.7,17.79
数据44,44.0,6.91,21.2,14.29
数据45,45.0,6.91,19.3,12.39
数据46,46.0,6.91,20.0,13.09
数据47,47.0,6.91,16.6,9.69
数据48,48.0,6.91,14.4,7.49
数据49,49.0,6.91,19.4,12.49
数据50,50.0,5.64,19.7,14.06
数据51,51.0,5.64,20.5,14.86
数据52,52.0,5.64,25.0,19.36
数据53,53.0,5.64,23.4,17.76
数据54,54.0,4.0,18.9,14.9
数据55,55.0,1.22,35.4,34.18
数据56,56.0,0.74,24.7,23.96
数据57,57.0,1.32,31.6,30.28
数据58,58.0,5.13,23.3,18.17
数据59,59.0,5.13,19.6,14.47
数据60,60.0,5.13,18.7,13.57
数据61,61.0,5.13,16.0,10.87
数据62,62.0,5.13,22.2,17.07
数据63,63.0,5.13,25.0,19.87
数据64,64.0,1.38,33.0,31.62
数据65,65.0,3.37,23.5,20.13
数据66,66.0,3.37,19.4,16.03
数据67,67.0,6.07,22.0,15.93
数据68,68.0,6.07,17.4,11.33
数据69,69.0,6.07,20.9,14.83
数据70,70.0,10.81,24.2,13.39
数据71,71.0,10.81,21.7,10.89
数据72,72.0,10.81,22.8,11.99
数据73,73.0,10.81,23.4,12.59
数据74,74.0,12.83,24.1,11.27
数据75,75.0,12.83,21.4,8.57
数据76,76.0,12.83,20.0,7.17
数据77,77.0,12.83,20.8,7.97
数据78,78.0,12.83,21.2,8.37
数据79,79.0,12.83,20.3,7.47
数据80,80.0,4.86,28.0,23.14
数据81,81.0,4.86,23.9,19.04
数据82,82.0,4.86,24.8,19.94
数据83,83.0,4.86,22.9,18.04
数据84,84.0,4.49,23.9,19.41
数据85,85.0,4.49,26.6,22.11
数据86,86.0,4.49,22.5,18.01
数据87,87.0,4.49,22.2,17.71
数据88,88.0,3.41,23.6,20.19
数据89,89.0,3.41,28.7,25.29
数据90,90.0,3.41,22.6,19.19
数据91,91.0,3.41,22.0,18.59
数据92,92.0,15.04,22.9,7.86
数据93,93.0,15.04,25.0,9.96
数据94,94.0,15.04,20.6,5.56
数据95,95.0,2.89,28.4,25.51
数据96,96.0,2.89,21.4,18.51
数据97,97.0,2.89,38.7,35.81
数据98,98.0,2.89,43.8,40.91
数据99,99.0,2.89,33.2,30.31
数据100,100.0,8.56,27.5,18.94
数据101,101.0,8.56,26.5,17.94
数据102,102.0,8.56,18.6,10.04
数据103,103.0,8.56,19.3,10.74
数据104,104.0,8.56,20.1,11.54
数据105,105.0,8.56,19.5,10.94
数据106,106.0,8.56,19.5,10.94
数据107,107.0,8.56,20.4,11.84
数据108,108.0,8.56,19.8,11.24
数据109,109.0,8.56,19.4,10.84
数据110,110.0,8.56,21.7,13.14
数据111,111.0,10.01,22.8,12.79
数据112,112.0,10.01,18.8,8.79
数据113,113.0,10.01,18.7,8.69
数据114,114.0,10.01,18.5,8.49
数据115,115.0,10.01,18.3,8.29
数据116,116.0,10.01,21.2,11.19
数据117,117.0,10.01,19.2,9.19
数据118,118.0,10.01,20.4,10.39
数据119,119.0,10.01,19.3,9.29
数据120,120.0,25.65,22.0,3.65
数据121,121.0,25.65,20.3,5.35
数据122,122.0,25.65,20.5,5.15
数据123,123.0,25.65,17.3,8.35
数据124,124.0,25.65,18.8,6.85
数据125,125.0,25.65,21.4,4.25
数据126,126.0,25.65,15.7,9.95
数据127,127.0,21.89,16.2,5.69
数据128,128.0,21.89,18.0,3.89
数据129,129.0,21.89,14.3,7.59
数据130,130.0,21.89,19.2,2.69
数据131,131.0,21.89,19.6,2.29
数据132,132.0,21.89,23.0,1.11
数据133,133.0,21.89,18.4,3.49
数据134,134.0,21.89,15.6,6.29
数据135,135.0,21.89,18.1,3.79
数据136,136.0,21.89,17.4,4.49
数据137,137.0,21.89,17.1,4.79
数据138,138.0,21.89,13.3,8.59
数据139,139.0,21.89,17.8,4.09
数据140,140.0,21.89,14.0,7.89
数据141,141.0,21.89,14.4,7.49
数据142,142.0,19.58,13.4,6.18
数据143,143.0,19.58,15.6,3.98
数据144,144.0,19.58,11.8,7.78
数据145,145.0,19.58,13.8,5.78
数据146,146.0,19.58,15.6,3.98
数据147,147.0,19.58,14.6,4.98
数据148,148.0,19.58,17.8,1.78
数据149,149.0,19.58,15.4,4.18
数据150,150.0,19.58,21.5,1.92
数据151,151.0,19.58,19.6,0.02
数据152,152.0,19.58,15.3,4.28
数据153,153.0,19.58,19.4,0.18
数据154,154.0,19.58,17.0,2.58
数据155,155.0,19.58,15.6,3.98
数据156,156.0,19.58,13.1,6.48
数据157,157.0,19.58,41.3,21.72
数据158,158.0,19.58,24.3,4.72
数据159,159.0,19.58,23.3,3.72
数据160,160.0,19.58,27.0,7.42
数据161,161.0,19.58,50.0,30.42
数据162,162.0,19.58,50.0,30.42
数据163,163.0,19.58,50.0,30.42
数据164,164.0,19.58,22.7,3.12
数据165,165.0,19.58,25.0,5.42
数据166,166.0,19.58,50.0,30.42
数据167,167.0,19.58,23.8,4.22
数据168,168.0,19.58,23.8,4.22
