,编号,预测值,实际值,偏差
数据0,0.0,15.2,15.0,0.2
数据1,1.0,15.2,18.9,3.7
数据2,2.0,15.2,21.7,6.5
数据3,3.0,21.0,20.4,0.6
数据4,4.0,21.0,18.2,2.8
数据5,5.0,21.0,19.9,1.1
数据6,6.0,21.0,23.1,2.1
数据7,7.0,21.0,17.5,3.5
数据8,8.0,21.0,20.2,0.8
数据9,9.0,21.0,18.2,2.8
数据10,10.0,21.0,13.6,7.4
数据11,11.0,21.0,19.6,1.4
数据12,12.0,21.0,15.2,5.8
数据13,13.0,21.0,14.5,6.5
数据14,14.0,21.0,15.6,5.4
数据15,15.0,21.0,13.9,7.1
数据16,16.0,21.0,16.6,4.4
数据17,17.0,21.0,14.8,6.2
数据18,18.0,21.0,18.4,2.6
数据19,19.0,21.0,21.0,0.0
数据20,20.0,21.0,12.7,8.3
数据21,21.0,21.0,14.5,6.5
数据22,22.0,21.0,13.2,7.8
数据23,23.0,21.0,13.1,7.9
数据24,24.0,21.0,13.5,7.5
数据25,25.0,19.2,18.9,0.3
数据26,26.0,19.2,20.0,0.8
数据27,27.0,19.2,21.0,1.8
数据28,28.0,19.2,24.7,5.5
数据29,29.0,18.3,30.8,12.5
数据30,30.0,18.3,34.9,16.6
数据31,31.0,17.9,26.6,8.7
数据32,32.0,17.9,25.3,7.4
数据33,33.0,17.9,24.7,6.8
数据34,34.0,17.9,21.2,3.3
数据35,35.0,17.9,19.3,1.4
数据36,36.0,17.9,20.0,2.1
数据37,37.0,17.9,16.6,1.3
数据38,38.0,17.9,14.4,3.5
数据39,39.0,17.9,19.4,1.5
数据40,40.0,16.8,19.7,2.9
数据41,41.0,16.8,20.5,3.7
数据42,42.0,16.8,25.0,8.2
数据43,43.0,16.8,23.4,6.6
数据44,44.0,21.1,18.9,2.2
数据45,45.0,17.9,35.4,17.5
数据46,46.0,17.3,24.7,7.4
数据47,47.0,15.1,31.6,16.5
数据48,48.0,19.7,23.3,3.6
数据49,49.0,19.7,19.6,0.1
数据50,50.0,19.7,18.7,1.0
数据51,51.0,19.7,16.0,3.7
数据52,52.0,19.7,22.2,2.5
数据53,53.0,19.7,25.0,5.3
数据54,54.0,18.6,33.0,14.4
数据55,55.0,16.1,23.5,7.4
数据56,56.0,16.1,19.4,3.3
数据57,57.0,18.9,22.0,3.1
数据58,58.0,18.9,17.4,1.5
数据59,59.0,18.9,20.9,2.0
数据60,60.0,19.2,24.2,5.0
数据61,61.0,19.2,21.7,2.5
数据62,62.0,19.2,22.8,3.6
数据63,63.0,19.2,23.4,4.2
数据64,64.0,18.7,24.1,5.4
数据65,65.0,18.7,21.4,2.7
数据66,66.0,18.7,20.0,1.3
数据67,67.0,18.7,20.8,2.1
数据68,68.0,18.7,21.2,2.5
数据69,69.0,18.7,20.3,1.6
数据70,70.0,19.0,28.0,9.0
数据71,71.0,19.0,23.9,4.9
数据72,72.0,19.0,24.8,5.8
数据73,73.0,19.0,22.9,3.9
数据74,74.0,18.5,23.9,5.4
数据75,75.0,18.5,26.6,8.1
数据76,76.0,18.5,22.5,4.0
数据77,77.0,18.5,22.2,3.7
数据78,78.0,17.8,23.6,5.8
数据79,79.0,17.8,28.7,10.9
数据80,80.0,17.8,22.6,4.8
数据81,81.0,17.8,22.0,4.2
数据82,82.0,18.2,22.9,4.7
数据83,83.0,18.2,25.0,6.8
数据84,84.0,18.2,20.6,2.4
数据85,85.0,18.0,28.4,10.4
数据86,86.0,18.0,21.4,3.4
数据87,87.0,18.0,38.7,20.7
数据88,88.0,18.0,43.8,25.8
数据89,89.0,18.0,33.2,15.2
数据90,90.0,20.9,27.5,6.6
